purchase_month,purchase_day_of_week,days_until_expiry,quantity,used_before_expiry,item_beverage,item_dairy,item_fruit,item_grain,item_meat,item_snack,item_vegetable,storage_freezer,storage_fridge,storage_pantry,item_name,storage_temperature_c,storage_humidity_pct
0.0,0.0,0.041322314,0.555555556,1,0,0,0,0,0,0,1,0,1,0,leeks,3.75,69.51
0.636363636,0.166666667,0.209366391,0.555555556,1,0,0,0,1,0,0,0,1,0,0,wheat_bread,-17.07,90.99
0.181818182,0.0,0.595041322,0.333333333,1,1,0,0,0,0,0,0,0,1,0,chocolate_drink,3.31,61.56
0.181818182,0.5,0.022038567,0.555555556,1,0,1,0,0,0,0,0,0,1,0,ice_cream,3.12,68.66
0.818181818,0.666666667,0.526170799,1.0,1,0,0,0,0,0,1,0,1,0,0,cake_rusk,-17.6,92.08
0.727272727,0.666666667,0.08815427,1.0,1,0,0,0,1,0,0,0,1,0,0,porridge_mix,-19.92,94.7
0.636363636,1.0,0.008264463,0.666666667,1,0,0,1,0,0,0,0,0,1,0,mango,4.66,62.12
0.636363636,1.0,0.011019284,0.444444444,1,0,0,1,0,0,0,0,0,0,1,papaya,26.73,72.75
0.454545455,0.0,0.011019284,0.333333333,1,0,0,0,0,1,0,0,1,0,0,beef_strips,-18.78,90.25
1.0,0.333333333,0.041322314,1.0,1,0,0,0,0,0,0,1,0,0,1,cucumber,27.73,74.37
0.909090909,0.0,0.038567493,0.777777778,1,0,1,0,0,0,0,0,0,1,0,yogurt_drink,4.22,61.39
0.636363636,0.5,0.03030303,0.0,0,0,1,0,0,0,0,0,0,1,0,whipped_cream,3.58,63.66
0.0,0.333333333,0.013774105,0.888888889,1,0,0,1,0,0,0,0,0,0,1,mango,27.82,81.78
0.090909091,0.833333333,1.0,0.555555556,1,0,0,0,0,0,1,0,0,0,1,cookie,26.8,77.71
0.0,0.333333333,0.195592287,0.111111111,1,0,0,0,0,0,1,0,1,0,0,cheese_balls,-17.63,85.46
0.545454545,0.833333333,0.380165289,0.333333333,1,0,0,0,1,0,0,0,0,0,1,barley,28.43,72.56
1.0,0.333333333,0.76584022,0.222222222,1,0,0,0,0,0,1,0,1,0,0,wafers,-19.74,94.49
0.545454545,0.166666667,0.0,0.888888889,1,0,0,0,0,1,0,0,0,0,1,sausage,29.86,82.13
0.090909091,0.166666667,0.027548209,0.666666667,1,0,0,1,0,0,0,0,0,0,1,plum,27.22,71.47
0.636363636,1.0,0.005509642,0.777777778,1,0,0,0,0,1,0,0,0,0,1,beef_steak,28.74,76.6
0.0,1.0,0.385674931,0.111111111,1,0,0,0,0,0,1,0,1,0,0,doughnut,-19.51,89.95
0.363636364,0.666666667,0.476584022,0.666666667,1,0,0,0,1,0,0,0,0,0,1,short_eats,26.14,83.64
0.636363636,0.0,0.096418733,0.0,1,1,0,0,0,0,0,0,0,1,0,kefir,3.52,66.63
0.545454545,0.333333333,0.027548209,0.888888889,0,0,1,0,0,0,0,0,0,1,0,mozzarella,3.62,65.2
0.545454545,0.333333333,0.300275482,1.0,1,0,0,0,0,0,1,0,1,0,0,nachos,-17.81,86.85
0.545454545,0.833333333,0.049586777,1.0,1,0,0,0,0,0,0,1,1,0,0,cucumber,-16.12,92.75
0.363636364,0.666666667,0.016528926,0.666666667,1,0,0,0,0,1,0,0,0,1,0,pork_chop,4.88,68.95
0.454545455,0.5,0.016528926,0.555555556,1,0,1,0,0,0,0,0,1,0,0,chocolate_milk,-17.61,94.22
1.0,0.833333333,0.771349862,1.0,1,1,0,0,0,0,0,0,0,0,1,kombucha,26.35,72.94
0.0,0.666666667,0.162534435,0.111111111,1,0,0,0,1,0,0,0,0,0,1,wheat_bread,26.18,74.88
0.272727273,0.5,0.953168044,0.333333333,1,0,0,0,0,0,1,0,1,0,0,cake_rusk,-18.45,87.71
0.909090909,0.666666667,0.033057851,0.222222222,1,0,1,0,0,0,0,0,1,0,0,yogurt_drink,-16.69,88.57
0.545454545,0.666666667,0.024793388,1.0,1,0,1,0,0,0,0,0,1,0,0,ghee,-18.88,90.43
0.272727273,0.166666667,0.011019284,0.111111111,0,0,0,0,0,1,0,0,0,0,1,hotdog,26.56,82.03
0.454545455,0.0,0.173553719,0.555555556,1,0,0,0,1,0,0,0,0,0,1,rice_cakes,26.3,84.8
0.636363636,0.5,0.008264463,1.0,1,0,0,0,0,1,0,0,0,1,0,chicken_breast,4.54,61.99
0.090909091,0.166666667,0.005509642,0.777777778,1,0,0,0,0,1,0,0,1,0,0,hotdog,-19.98,93.15
0.545454545,0.0,0.002754821,0.555555556,1,0,0,0,0,1,0,0,0,0,1,turkey,28.83,80.94
0.909090909,1.0,0.851239669,0.0,1,0,0,0,0,0,1,0,1,0,0,biscuits,-16.91,85.74
0.727272727,0.166666667,0.016528926,0.111111111,1,0,0,1,0,0,0,0,1,0,0,pear,-18.57,86.16
0.090909091,1.0,0.371900826,1.0,1,0,0,0,0,0,1,0,1,0,0,chocolate,-16.55,91.23
0.454545455,0.666666667,0.013774105,0.111111111,1,0,0,0,0,0,0,1,1,0,0,beetroot,-18.68,85.64
0.818181818,0.833333333,0.126721763,0.555555556,1,0,0,0,0,0,1,0,0,1,0,chips,3.62,63.25
0.545454545,0.333333333,0.67768595,0.666666667,0,1,0,0,0,0,0,0,0,0,1,soda,28.92,79.56
1.0,0.333333333,0.022038567,0.444444444,1,0,1,0,0,0,0,0,0,1,0,cheddar,4.77,64.72
0.181818182,0.333333333,0.008264463,0.111111111,1,0,0,1,0,0,0,0,1,0,0,mango,-19.52,92.13
0.272727273,0.666666667,0.487603306,0.0,0,1,0,0,0,0,0,0,0,0,1,yogurt_drink,29.04,78.42
0.181818182,1.0,0.035812672,0.0,1,0,1,0,0,0,0,0,0,0,1,cheese,29.08,77.41
0.272727273,1.0,0.038567493,0.777777778,1,0,1,0,0,0,0,0,1,0,0,milkshake,-17.91,89.28
0.727272727,0.5,0.038567493,0.333333333,1,0,0,0,0,0,0,1,1,0,0,mushroom,-19.9,86.08
0.909090909,0.333333333,0.016528926,0.111111111,0,0,0,0,0,1,0,0,1,0,0,chicken_thigh,-19.87,91.36
0.181818182,0.166666667,0.578512397,0.888888889,0,0,0,0,0,0,1,0,0,1,0,nachos,3.63,65.09
0.636363636,1.0,0.016528926,0.555555556,1,0,1,0,0,0,0,0,0,0,1,sour_cream,29.63,73.74
0.181818182,0.0,0.256198347,0.0,1,0,0,0,0,0,1,0,1,0,0,sesame_snaps,-18.36,92.56
0.636363636,0.833333333,0.033057851,0.444444444,1,0,1,0,0,0,0,0,1,0,0,butter,-19.08,85.77
0.272727273,0.333333333,0.570247934,0.555555556,1,1,0,0,0,0,0,0,0,1,0,soy_milk,3.58,61.61
0.090909091,0.166666667,0.275482094,1.0,1,0,0,0,1,0,0,0,0,1,0,quinoa,4.86,68.08
0.818181818,0.833333333,0.049586777,0.444444444,1,0,0,0,0,0,0,1,0,0,1,carrot,28.53,83.07
0.818181818,1.0,0.011019284,0.888888889,1,0,0,0,0,1,0,0,1,0,0,chicken_thigh,-16.79,86.87
0.181818182,0.166666667,0.013774105,0.111111111,0,0,0,0,0,1,0,0,1,0,0,sausage,-16.43,90.39
0.818181818,0.833333333,0.008264463,0.0,1,0,0,0,0,0,0,1,0,1,0,spinach,4.61,68.96
0.636363636,0.666666667,0.374655647,0.0,1,0,0,0,0,0,1,0,0,1,0,jelly_cup,3.64,61.1
1.0,0.166666667,0.994490358,0.222222222,1,1,0,0,0,0,0,0,1,0,0,coffee_drink,-19.09,89.27
0.090909091,0.333333333,0.396694215,0.111111111,1,1,0,0,0,0,0,0,0,1,0,almond_milk,4.64,68.61
0.636363636,0.666666667,0.027548209,1.0,1,0,0,0,0,0,0,1,0,1,0,onion,3.01,65.11
0.818181818,0.333333333,0.82369146,0.777777778,1,1,0,0,0,0,0,0,1,0,0,soy_milk,-18.33,87.22
0.181818182,0.0,0.016528926,0.555555556,1,0,0,0,0,0,0,1,0,0,1,potato,26.48,75.06
0.636363636,0.666666667,0.388429752,0.555555556,1,1,0,0,0,0,0,0,0,0,1,herbal_tea,29.77,74.85
0.181818182,0.666666667,0.754820937,0.222222222,1,1,0,0,0,0,0,0,1,0,0,soy_milk,-17.92,92.03
0.545454545,0.5,0.033057851,0.555555556,1,0,1,0,0,0,0,0,1,0,0,milk,-18.55,94.72
0.636363636,0.333333333,0.730027548,0.444444444,1,0,0,0,0,0,1,0,1,0,0,doughnut,-16.15,87.52
0.363636364,0.833333333,0.044077135,0.555555556,1,0,1,0,0,0,0,0,0,0,1,buttermilk,27.99,74.51
0.727272727,1.0,0.024793388,1.0,0,0,1,0,0,0,0,0,1,0,0,feta,-18.86,85.37
0.454545455,0.166666667,0.024793388,1.0,1,0,0,1,0,0,0,0,0,1,0,peach,4.22,65.03
0.909090909,0.0,0.046831956,0.888888889,1,0,0,0,0,0,0,1,0,1,0,sweet_potato,3.1,62.79
0.727272727,0.166666667,0.016528926,0.333333333,1,0,1,0,0,0,0,0,0,1,0,sour_cream,4.82,62.4
0.272727273,0.166666667,0.713498623,0.111111111,1,0,0,0,0,0,1,0,0,0,1,sesame_snaps,26.58,77.34
0.454545455,0.0,0.746556474,1.0,1,1,0,0,0,0,0,0,0,1,0,syrup,4.97,62.42
1.0,0.333333333,0.022038567,0.666666667,1,0,1,0,0,0,0,0,0,0,1,cheddar,28.69,81.42
0.0,0.0,0.438016529,0.444444444,1,0,0,0,1,0,0,0,0,1,0,short_eats,3.48,67.28
1.0,0.5,0.011019284,0.333333333,0,0,0,1,0,0,0,0,0,0,1,plum,27.47,79.48
0.636363636,0.333333333,0.443526171,0.777777778,1,0,0,0,0,0,1,0,1,0,0,doughnut,-17.47,90.36
0.818181818,1.0,0.019283747,0.111111111,0,0,1,0,0,0,0,0,1,0,0,milkshake,-19.64,93.35
0.818181818,0.666666667,0.049586777,1.0,1,0,0,0,0,0,0,1,0,0,1,carrot,27.28,72.8
0.909090909,0.333333333,0.027548209,0.666666667,1,0,0,0,0,0,0,1,1,0,0,pumpkin,-19.84,90.91
0.454545455,0.333333333,0.011019284,0.111111111,1,0,0,0,0,0,0,1,1,0,0,onion,-17.29,85.17
0.545454545,1.0,0.311294766,0.777777778,0,0,0,0,1,0,0,0,0,0,1,quinoa,28.05,73.4
0.272727273,0.5,0.311294766,0.111111111,1,0,0,0,0,0,1,0,1,0,0,muffin,-17.42,86.74
0.909090909,0.333333333,0.013774105,0.222222222,1,0,0,1,0,0,0,0,0,0,1,pomegranate,28.76,75.8
0.454545455,1.0,0.049586777,0.777777778,0,0,1,0,0,0,0,0,0,0,1,cheese,29.75,72.06
0.818181818,0.666666667,0.137741047,0.777777778,1,0,0,0,0,0,1,0,0,0,1,pudding,27.36,71.7
0.454545455,0.666666667,0.005509642,0.555555556,0,0,0,0,0,1,0,0,0,1,0,deli_meat,4.85,68.77
0.636363636,0.666666667,0.011019284,0.222222222,1,0,0,0,0,0,0,1,0,1,0,pumpkin,3.52,66.6
0.909090909,0.5,0.008264463,0.888888889,1,0,0,0,0,1,0,0,0,0,1,ground_pork,29.27,78.33
0.090909091,0.833333333,0.58677686,0.111111111,1,1,0,0,0,0,0,0,0,1,0,lemonade,4.06,62.42
0.0,0.333333333,0.049586777,0.444444444,1,0,1,0,0,0,0,0,0,0,1,milk,26.37,83.46
1.0,0.5,0.008264463,0.555555556,1,0,0,0,0,1,0,0,0,1,0,chicken_wings,4.8,66.33
0.727272727,1.0,0.027548209,1.0,1,0,1,0,0,0,0,0,0,0,1,condensed_milk,27.36,75.24
0.090909091,0.833333333,0.699724518,0.222222222,1,0,0,0,0,0,1,0,1,0,0,chips,-17.1,93.97
0.909090909,0.166666667,0.013774105,0.333333333,1,0,1,0,0,0,0,0,1,0,0,milk_powder,-16.45,92.8
0.636363636,0.666666667,0.550964187,0.777777778,0,0,0,0,0,0,1,0,0,0,1,candy,28.57,71.26
