iter	Passed	Remaining
0	158	94863
1	167	49959
2	169	33793
3	177	26477
4	185	22069
5	194	19293
6	202	17156
7	211	15658
8	218	14380
9	227	13398
10	235	12597
11	244	12002
12	253	11445
13	261	10962
14	268	10463
15	274	10015
16	282	9678
17	291	9415
18	298	9140
19	308	8933
20	318	8781
21	320	8410
22	327	8204
23	336	8075
24	344	7930
25	355	7855
26	362	7697
27	372	7600
28	378	7453
29	390	7414
30	400	7344
31	407	7228
32	415	7133
33	417	6955
34	425	6862
35	435	6827
36	444	6756
37	452	6697
38	464	6683
39	471	6598
40	481	6570
41	490	6518
42	501	6495
43	511	6467
44	519	6403
45	532	6415
46	542	6382
47	549	6324
48	558	6284
49	567	6245
50	575	6199
51	584	6155
52	593	6127
53	601	6078
54	610	6047
55	618	6007
56	627	5977
57	635	5943
58	645	5921
59	656	5907
60	664	5872
61	669	5809
62	680	5798
63	690	5782
64	699	5759
65	709	5740
66	717	5710
67	726	5687
68	737	5677
69	746	5655
70	757	5641
71	766	5618
72	774	5591
73	783	5571
74	792	5546
75	800	5519
76	807	5484
77	816	5461
78	823	5433
79	834	5426
80	844	5408
81	852	5384
82	862	5371
83	872	5356
84	881	5339
85	884	5287
86	893	5269
87	903	5254
88	914	5249
89	923	5235
90	930	5206
91	940	5194
92	948	5169
93	958	5161
94	966	5138
95	975	5120
96	986	5114
97	997	5107
98	1007	5096
99	1016	5083
100	1024	5062
101	1032	5041
102	1040	5022
103	1049	5004
104	1057	4985
105	1067	4973
106	1075	4953
107	1085	4945
108	1094	4930
109	1102	4912
110	1112	4900
111	1122	4889
112	1129	4867
113	1150	4904
114	1160	4895
115	1166	4865
116	1173	4843
117	1183	4833
118	1191	4817
119	1198	4795
120	1206	4774
121	1213	4752
122	1220	4733
123	1228	4716
124	1236	4699
125	1244	4683
126	1252	4664
127	1264	4663
128	1272	4646
129	1280	4628
130	1286	4605
131	1291	4579
132	1299	4564
133	1305	4540
134	1311	4517
135	1318	4498
136	1325	4481
137	1333	4464
138	1341	4449
139	1346	4425
140	1352	4404
141	1360	4386
142	1367	4371
143	1375	4357
144	1381	4336
145	1390	4323
146	1396	4303
147	1402	4284
148	1409	4265
149	1417	4251
150	1423	4232
151	1429	4212
152	1436	4197
153	1442	4178
154	1448	4159
155	1455	4143
156	1464	4132
157	1471	4115
158	1476	4094
159	1483	4080
160	1492	4068
161	1498	4051
162	1506	4039
163	1516	4031
164	1528	4030
165	1536	4018
166	1546	4009
167	1553	3994
168	1562	3985
169	1572	3976
170	1579	3961
171	1583	3940
172	1588	3920
173	1595	3906
174	1601	3889
175	1607	3873
176	1612	3853
177	1618	3837
178	1627	3828
179	1634	3814
180	1643	3804
181	1652	3794
182	1660	3783
183	1668	3771
184	1677	3761
185	1682	3744
186	1689	3730
187	1697	3719
188	1705	3709
189	1713	3698
190	1721	3686
191	1726	3668
192	1734	3657
193	1741	3643
194	1747	3629
195	1755	3618
196	1766	3612
197	1776	3606
198	1786	3599
199	1793	3587
200	1806	3585
201	1816	3579
202	1824	3568
203	1833	3559
204	1840	3547
205	1852	3542
206	1861	3534
207	1868	3521
208	1876	3510
209	1883	3497
210	1888	3482
211	1903	3484
212	1919	3487
213	1927	3475
214	1934	3463
215	1940	3449
216	1946	3434
217	1952	3420
218	1962	3414
219	1970	3403
220	1977	3390
221	1984	3378
222	1990	3365
223	1997	3352
224	2006	3344
225	2014	3333
226	2023	3324
227	2032	3315
228	2040	3305
229	2048	3295
230	2056	3284
231	2064	3274
232	2073	3266
233	2083	3258
234	2093	3250
235	2106	3248
236	2114	3238
237	2120	3225
238	2128	3214
239	2138	3207
240	2147	3198
241	2153	3186
242	2161	3175
243	2169	3165
244	2176	3153
245	2182	3141
246	2187	3126
247	2193	3113
248	2200	3102
249	2208	3091
250	2216	3081
251	2221	3068
252	2229	3057
253	2237	3047
254	2244	3037
255	2250	3024
256	2259	3015
257	2266	3004
258	2274	2994
259	2282	2985
260	2291	2976
261	2298	2965
262	2305	2954
263	2314	2945
264	2325	2939
265	2335	2932
266	2344	2923
