feature,importance
calcium_ratio,0.27110359577633036
protein_ratio,0.2560187625013664
energy_ratio,0.2502565214310785
iron_ratio,0.20896203022258564
energy_intake,0.00528093338861382
protein_intake,0.004352307522584932
calcium_intake,0.0019263420310689622
age,0.0011073650833482646
iron_intake,0.0007897202960154763
required_energy,0.00011452779887703585
condition_flag,3.3392972742846316e-05
required_calcium,2.1281490386444012e-05
gender_code,1.7053684118097062e-05
required_iron,1.4279507424531628e-05
required_protein,1.886293458575106e-06
