food_id,food_name,serving_basis,serving_size_g,energy_kcal,protein_g,fat_g,carbohydrate_g,fiber_g,sugar_g,calcium_mg,iron_mg,zinc_mg,magnesium_mg,potassium_mg,sodium_mg,vitamin_c_mg,vitamin_a_mg,vitamin_d_mg,vitamin_b12_mg,folate_mg
SL0001,Papaya,1 cup,57,121.6,2.3,12.2,13.2,3.8,0.8,52.4,0.5,0.7,33.7,561.9,38.5,57.9,55.1,3.3,0.4,52.1
SL0002,Plain Yogurt,100g,96,309.9,4.2,15.7,40.9,12.5,6.6,205.7,4.7,2.0,30.7,566.8,155.8,112.5,648.6,8.8,3.7,60.0
SL0003,String Hoppers,1 cup,146,58.3,12.8,17.0,45.1,6.8,16.7,76.7,7.9,3.5,29.6,30.5,61.1,3.6,641.8,3.4,2.8,11.1
SL0004,Jackfruit,1 piece,154,318.2,3.5,22.1,22.8,12.3,3.4,107.7,7.1,2.1,38.2,460.4,239.9,91.3,20.3,1.3,3.8,189.6
SL0005,Boiled Egg,100g,114,82.5,1.0,24.8,4.3,5.0,15.6,100.6,6.0,3.6,142.2,351.4,368.4,23.5,317.5,9.9,2.9,116.0
SL0006,Red Rice,1 piece,118,186.2,16.2,11.2,8.4,14.4,15.0,251.7,3.1,2.7,97.3,429.8,90.4,42.3,269.3,3.0,1.8,151.3
SL0007,Fish Curry,100g,86,193.2,1.5,8.5,53.0,13.6,16.8,6.1,4.8,1.1,143.3,310.4,220.3,31.2,804.8,7.9,0.6,266.5
SL0008,White Bread,1 cup,143,298.1,27.9,21.1,56.6,10.5,15.8,55.8,5.5,1.6,8.7,443.0,72.0,44.8,77.3,6.4,3.7,142.2
SL0009,Boiled Chickpeas,100g,126,50.1,11.7,3.6,15.9,3.3,8.5,121.4,0.3,4.3,40.2,48.2,174.0,26.8,837.0,0.7,0.5,50.7
SL0010,Plain Paratha,1 piece,241,206.8,22.9,2.1,45.2,9.5,12.9,288.3,2.2,1.7,130.3,291.5,372.0,7.9,655.6,3.1,1.0,120.6
SL0011,Mixed Vegetable Curry,1 piece,130,190.9,22.4,23.1,33.6,14.9,2.3,75.1,6.9,1.7,61.4,549.8,264.3,86.6,2.2,9.6,3.6,239.2
SL0012,Jackfruit Seeds,100g,212,239.9,25.8,14.1,59.9,9.7,1.2,244.9,6.0,2.8,114.5,252.2,118.2,15.2,115.2,6.3,3.8,212.6
